school,division,school_division,latitude,longitude,10_or_more_absences,half_year_enrollment,rate_chronic_absence,free_reduced_lunch_eligible,eoy_avg_daily_membership,school_level_expenditures_per_pupil_federal,school_level_expenditures_per_pupil_state,division_level_expenditures_per_pupil_federal,division_level_expenditures_per_pupil_state,total_per_pupil_expenditures,total_expenditures,poverty_level,title1_code,percent_inexperienced_teachers,percent_out_of_field_teachers,percent_out_of_field_inexperienced_teachers,percent_econ_disadvantaged,teacher_BA,teacher_MA,teacher_PHD,provisional_percent,sol_pass_rate,percent_female_students,percent_male_students,percent_disabled_students,percent_not_disabled_students
Hilda J. Barbour Elementary,Warren County Public Schools,Hilda J. Barbour Elementary Warren County Public Schools,38.920102,-78.168255,74,417,17.75,40,436.53,967,8470,45,2983,12465,5441173,Medium Poverty,Title I,2.4,7.3,2.4,0.3913043478,50,48,0,2.4,67.75,0.4724770642,0.5275229358,0.114416476,0.885583524
Hillpoint Elementary,Suffolk City Public Schools,Hillpoint Elementary Suffolk City Public Schools,36.775264,-76.563296,174,673,25.85,88.3,726.87,680,6018,579,4378,11655,8471639,High Poverty,Title I,0,7.5,0,0.3972222222,47,44,0,7.5,45.5,0.4875,0.5125,0.1125,0.8875
Hillsboro Charter Academy,Loudoun County Public Schools,Hillsboro Charter Academy Loudoun County Public Schools,39.198997,-77.719758,13,144,9.03,,143.24,148,19331,13,2246,21738,3113774,,,,,,,32,68,0,,94.5,0.4861111111,0.5138888889,,1
Hillside Elementary,Loudoun County Public Schools,Hillside Elementary Loudoun County Public Schools,39.020846,-77.513988,58,585,9.91,8.4,594.04,437,15092,13,2246,17788,10566952,Low Poverty,Non-Title I,7.9,0,0,0.1225577265,26,74,0,9.5,82.75,0.4653641208,0.5346358792,0.1065719361,0.8934280639
Hillsville Elementary,Carroll County Public Schools,Hillsville Elementary Carroll County Public Schools,36.788094,-80.694252,55,425,12.94,62.6,474.87,1091,7766,418,3506,12781,6069223,Medium Poverty,Title I,0,5,0,0.5907172996,51,49,0,2.5,77,0.4789029536,0.5210970464,0.2257383966,0.7742616034
Hilton Elementary,Scott County Public Schools,Hilton Elementary Scott County Public Schools,36.641054,-82.575853,3,121,2.48,58.9,146.99,2260,11728,563,1774,16325,2399594,Medium Poverty,Title I,10.5,15.8,5.3,,57,43,0,10.5,84.5,0.5894039735,0.4105960265,0.2119205298,0.7880794702
Hilton Elementary,Newport News City Public Schools,Hilton Elementary Newport News City Public Schools,37.028739,-76.464128,52,370,14.05,76.4,371.62,21,8822,1313,3686,13842,5144084,Medium Poverty,Non-Title I,0,0,0,0.3465608466,37,56,0,0,66.25,0.5264550265,0.4735449735,0.09259259259,0.9074074074
Hodges Manor Elementary,Portsmouth City Public Schools,Hodges Manor Elementary Portsmouth City Public Schools,36.814694,-76.383587,139,493,28.19,100,489.76,483,8013,548,3432,12476,6110230,High Poverty,Title I,4.2,20.8,4.2,0.4854771784,32,46,4,8.3,42.75,0.4481327801,0.5518672199,0.06846473029,0.9315352697
Hoffman-Boston Elementary,Arlington County Public Schools,Hoffman-Boston Elementary Arlington County Public Schools,38.861542,-77.071843,49,500,9.8,45.8,582.72,606,14049,968,7589,23212,13526184,Medium Poverty,Title I,3.4,0,0,0.406360424,28,70,2,5.2,58.75,0.445229682,0.554770318,0.1325088339,0.8674911661
Holland Elementary,Virginia Beach City Public Schools,Holland Elementary Virginia Beach City Public Schools,36.804046,-76.087637,97,431,22.51,84.4,462.1,3412,13583,0,0,16995,7853587,High Poverty,Title I,2.6,0,0,0.6492374728,45,45,7,5.1,71.5,0.5185185185,0.4814814815,0.1132897603,0.8867102397
Hollin Meadows Elementary,Fairfax County Public Schools,Hollin Meadows Elementary Fairfax County Public Schools,38.750031,-77.071382,124,582,21.31,58.7,612.98,1314,11325,694,6054,19387,11884087,Medium Poverty,Title I,3.3,1.6,1.6,0.5867098865,33,64,0,9.8,49.33333333,0.4829821718,0.5170178282,0.1150729335,0.8849270665
Hollymead Elementary,Albemarle County Public Schools,Hollymead Elementary Albemarle County Public Schools,38.112401,-78.439303,33,338,9.76,14.9,349.56,614,12121,471,3799,17004,5943953,Low Poverty,Non-Title I,10.8,10.8,8.1,0.1228070175,33,65,0,0,84.75,0.4824561404,0.5175438596,0.1520467836,0.8479532164
Holmes Middle,Fairfax County Public Schools,Holmes Middle Fairfax County Public Schools,38.814896,-77.163324,195,900,21.67,59.4,908.76,419,11702,694,6054,18869,17147603,Medium Poverty,Non-Title I,2.3,4.7,0,0.5899672846,29,69,1,8.1,54.66666667,0.479825518,0.520174482,0.2006543075,0.7993456925
Holston High,Washington County Public Schools,Holston High Washington County Public Schools,36.654074,-81.794037,82,258,31.78,63.1,264.22,19,10382,656,3308,14366,3795697,Medium Poverty,Non-Title I,2.6,5.1,0,0.4779411765,44,56,0,2.6,83,0.5036764706,0.4963235294,0.1985294118,0.8014705882
Homer L. Hines Middle,Newport News City Public Schools,Homer L. Hines Middle Newport News City Public Schools,37.044145,-76.461254,445,970,45.88,76.4,959.31,532,7578,1313,3686,13109,12576051,High Poverty,Non-Title I,3.9,19.5,2.6,0.6365546218,41,36,1,16.9,43.8,0.5026343519,0.4973656481,0.1722689076,0.8277310924
Honaker Elementary,Russell County Public Schools,Honaker Elementary Russell County Public Schools,37.019292,-81.946725,145,531,27.31,67.1,584.86,1292,6203,648,3877,12021,7030603,Medium Poverty,Title I,0,2.2,0,0.7452991453,75,23,0,4.4,78,0.4752136752,0.5247863248,0.1230769231,0.8769230769
Honaker High,Russell County Public Schools,Honaker High Russell County Public Schools,37.016984,-81.978429,154,461,33.41,62.1,458.77,444,6800,648,3877,11769,5399129,Medium Poverty,Non-Title I,0,3.8,0,0.5835140998,55,42,2,3.8,73,0.4620390456,0.5379609544,0.1301518438,0.8698481562
Honey Run Elementary,Shenandoah County Public Schools,Honey Run Elementary Shenandoah County Public Schools,38.70645,-78.666602,183,498,36.75,60.4,551.3,965,8303,508,3618,13394,7383919,Medium Poverty,Title I,2,4,0,0.5408348457,50,46,0,10,73,0.4827586207,0.5172413793,0.1796733212,0.8203266788
Hopewell High,Hopewell City Public Schools,Hopewell High Hopewell City Public Schools,37.290494,-77.318893,358,1193,30.01,98.7,1119.91,495,8949,1157,4008,14609,16361183,High Poverty,Non-Title I,2.2,17.4,0,0.853470437,42,49,1,9.8,51,0.4850042845,0.5149957155,0.1585261354,0.8414738646
Hopkins Road Elementary,Chesterfield County Public Schools,Hopkins Road Elementary Chesterfield County Public Schools,37.435801,-77.473877,113,725,15.59,67.7,756,432,6378,543,4412,11765,8894390,Medium Poverty,Title I,11.6,2.9,2.9,0.5733512786,52,48,0,2.9,47.75,0.4899057873,0.5100942127,0.09421265141,0.9057873486
Horizon Elementary,Loudoun County Public Schools,Horizon Elementary Loudoun County Public Schools,39.045146,-77.385917,42,458,9.17,16.5,486.97,711,17191,13,2246,20161,9817989,Low Poverty,Non-Title I,3.2,3.2,1.6,0.1872427984,20,78,2,8.1,78.75,0.4814814815,0.5185185185,0.146090535,0.853909465
Hovatter Elementary,Loudoun County Public Schools,Hovatter Elementary Loudoun County Public Schools,38.922265,-77.580657,80,1039,7.7,,1051.64,295,11510,13,2246,14064,14789808,,,,,,0.02089268756,31,67,0,,85.75,0.4719848053,0.5280151947,0.08072174739,0.9192782526
Huddleston Elementary,Bedford County Public Schools,Huddleston Elementary Bedford County Public Schools,37.163449,-79.471787,36,203,17.73,51.9,215.32,1304,8108,28,3585,13025,2804498,Medium Poverty,Title I,4.5,4.5,0,0.6175115207,61,35,0,13.6,63,0.4792626728,0.5207373272,0.1152073733,0.8847926267
Hugh Mercer Elementary,Fredericksburg City Public Schools,Hugh Mercer Elementary Fredericksburg City Public Schools,38.302698,-77.486802,386,858,44.99,81,846.13,1492,10001,354,4299,16146,13661397,High Poverty,Title I,5.1,3.8,1.3,0.5521191294,41,55,2,14.1,39.75,0.4845360825,0.5154639175,0.08705612829,0.9129438717
Hughes Middle,Fairfax County Public Schools,Hughes Middle Fairfax County Public Schools,38.935351,-77.338366,177,967,18.3,37.9,968.71,483,11021,694,6054,18252,17680914,Medium Poverty,Non-Title I,0,8.6,0,0.4036885246,23,77,0,2.5,71,0.4789311408,0.5210688592,0.193647541,0.806352459
Hugo A. Owens Middle,Chesapeake City Public Schools,Hugo A. Owens Middle Chesapeake City Public Schools,36.73405,-76.341126,286,1320,21.67,26.2,1319.68,221,7220,228,3266,10935,14430851,Low Poverty,Non-Title I,3.2,1.1,0,0.3070507961,40,54,0,5.3,75.4,0.4844579227,0.5155420773,0.1592115239,0.8407884761
Huguenot High,Richmond City Public Schools,Huguenot High Richmond City Public Schools,37.5324,-77.542578,408,1317,30.98,100,1241.84,341,8971,3624,5962,18898,23467732,,,,,,0.5041075429,39,56,2,10.6,48,0.4846900672,0.5153099328,0.14339059,0.85660941
Hunt Valley Elementary,Fairfax County Public Schools,Hunt Valley Elementary Fairfax County Public Schools,38.762069,-77.243961,56,688,8.14,6.8,683.21,501,10730,694,6054,17979,12283580,Low Poverty,Non-Title I,0,0,0,0.1034482759,22,78,0,0,88,0.4497751124,0.5502248876,0.1454272864,0.8545727136
Hunter B. Andrews,Hampton City Public Schools,Hunter B. Andrews Hampton City Public Schools,37.01157,-76.368024,243,1031,23.57,91.1,1133.87,1021,7139,446,2738,11344,12862506,High Poverty,Title I,5.3,1.3,1.3,0.5639431616,51,42,5,23.7,61.2,0.4884547069,0.5115452931,0.09502664298,0.904973357
Hunters Woods Elementary School for the Arts and Sciences,Fairfax County Public Schools,Hunters Woods Elementary School for the Arts and Sciences Fairfax County Public Schools,38.932335,-77.361575,63,696,9.05,23,728.85,393,10210,694,6054,17351,12646115,Low Poverty,Non-Title I,0,0,0,0.2680272109,18,78,3,1.6,81,0.5006802721,0.4993197279,0.106122449,0.893877551
Huntington Middle,Newport News City Public Schools,Huntington Middle Newport News City Public Schools,37.006319,-76.427199,169,270,62.59,76.3,273.14,520,7538,1313,3686,13057,3566433,High Poverty,Non-Title I,12.5,41.7,12.5,0.8510638298,27,35,0,12.5,22.5,0.5390070922,0.4609929078,0.2021276596,0.7978723404
Hurley Elementary/Middle,Buchanan County Public Schools,Hurley Elementary/Middle Buchanan County Public Schools,37.385259,-82.000457,125,347,36.02,84.2,365.5,1453,6212,1116,4297,13078,4779944,High Poverty,Title I,5.4,0,0,0.6410958904,67,31,0,8.1,53,0.4739726027,0.5260273973,0.1808219178,0.8191780822
Hurley High,Buchanan County Public Schools,Hurley High Buchanan County Public Schools,37.385259,-82.000457,41,201,20.4,84.2,203.59,1299,6021,1116,4297,12732,2592135,High Poverty,Non-Title I,0,0,0,0.6009852217,48,52,0,22.7,65,0.5270935961,0.4729064039,0.1724137931,0.8275862069
Hurt Park Elementary,Roanoke City Public Schools,Hurt Park Elementary Roanoke City Public Schools,37.275651,-79.966194,115,293,39.25,100,331.72,2056,10554,796,3859,17265,5727068,High Poverty,Title I,6.8,2.3,2.3,0.8176470588,43,45,0,4.5,32.75,0.4911764706,0.5088235294,0.1382352941,0.8617647059
Hutchison Elementary,Fairfax County Public Schools,Hutchison Elementary Fairfax County Public Schools,38.961527,-77.406819,210,1021,20.57,82.6,1064.46,1356,11546,694,6054,19651,20917852,High Poverty,Title I,2.8,0.9,0,0.7703842549,36,64,0,6.5,40.33333333,0.5220243674,0.4779756326,0.1208997188,0.8791002812
Hutchison Farm Elementary,Loudoun County Public Schools,Hutchison Farm Elementary Loudoun County Public Schools,38.913833,-77.522385,76,681,11.16,22.5,714.72,626,15811,13,2246,18696,13362184,Low Poverty,Non-Title I,5,1.3,1.3,0.2455172414,27,73,0,5,68.25,0.4855172414,0.5144827586,0.115862069,0.884137931
Hybla Valley Elementary,Fairfax County Public Schools,Hybla Valley Elementary Fairfax County Public Schools,38.759093,-77.089259,254,854,29.74,82.6,876.41,1278,11623,694,6054,19650,17221268,High Poverty,Title I,6.8,1.1,1.1,0.8277027027,35,63,1,1.1,38,0.4954954955,0.5045045045,0.1306306306,0.8693693694
I.C. Norcom High,Portsmouth City Public Schools,I.C. Norcom High Portsmouth City Public Schools,36.836092,-76.319854,423,977,43.3,100,1016.2,403,9530,548,3432,13913,14138776,High Poverty,Non-Title I,0.9,10.3,0.9,0.6434463795,45,41,3,7.8,55.8,0.4958753437,0.5041246563,0.1604032997,0.8395967003
Independence Elementary,Grayson County Public Schools,Independence Elementary Grayson County Public Schools,36.62312,-81.136813,31,267,11.61,69.4,271.93,2610,5906,341,3818,12674,3446433,Medium Poverty,Title I,0,0,0,0.5625,57,43,0,14.8,71,0.5477941176,0.4522058824,0.1176470588,0.8823529412
Independence High,Loudoun County Public Schools,Independence High Loudoun County Public Schools,38.97637,-77.553424,241,1819,13.25,7.7,1823.33,270,14216,13,2246,16745,30531232,Low Poverty,Non-Title I,7.2,5.3,0.7,0.0924002187,25,74,1,8.6,89.6,0.4917853231,0.5082146769,0.08802624385,0.9119737562
Independence Middle,Grayson County Public Schools,Independence Middle Grayson County Public Schools,36.620967,-81.146259,45,246,18.29,64.7,247.38,284,7145,341,3818,11587,2866509,Medium Poverty,Non-Title I,5.6,11.1,2.8,0.5258964143,46,51,0,11.1,67.4,0.5139442231,0.4860557769,0.187250996,0.812749004
Independence Middle,Virginia Beach City Public Schools,Independence Middle Virginia Beach City Public Schools,36.881073,-76.125014,190,1195,15.9,41.2,1187.39,1260,11472,0,0,12732,15117974,Medium Poverty,Non-Title I,7.1,1.2,0,0.52,44,55,0,10.6,71,0.4569757728,0.5430242272,0.1625,0.8375
Indian Hollow Elementary,Frederick County Public Schools,Indian Hollow Elementary Frederick County Public Schools,39.240705,-78.287592,85,387,21.96,40.9,397.43,692,10223,136,2885,13936,5538597,Medium Poverty,Title I,7.7,2.6,2.6,0.4603580563,56,39,2,5.1,66,0.5217391304,0.4782608696,0.1227621483,0.8772378517
Indian Lakes Elementary,Virginia Beach City Public Schools,Indian Lakes Elementary Virginia Beach City Public Schools,36.79836,-76.146032,55,538,10.22,40.3,554.4,1468,11075,0,0,12543,6953853,Medium Poverty,Non-Title I,0,0,0,0.4362657092,43,54,0,0,70.75,0.4614003591,0.5385996409,0.1346499102,0.8653500898
Indian River High,Chesapeake City Public Schools,Indian River High Chesapeake City Public Schools,36.798195,-76.243688,316,1665,18.98,45.2,1665.49,178,9565,228,3266,13238,22047553,Medium Poverty,Non-Title I,5.4,0.8,0,0.5362831858,40,55,2,7.8,74.2,0.490253987,0.509746013,0.202359882,0.797640118
Indian River Middle,Chesapeake City Public Schools,Indian River Middle Chesapeake City Public Schools,36.801428,-76.234991,184,750,24.53,60.6,739.08,152,9644,228,3266,13291,9822860,Medium Poverty,Non-Title I,15.3,1.4,1.4,0.6271870794,46,51,0,13.9,51.8,0.4716981132,0.5283018868,0.2301480485,0.7698519515
Indian Valley Elementary,Floyd County Public Schools,Indian Valley Elementary Floyd County Public Schools,36.916533,-80.539206,32,112,28.57,42,114.19,1577,9919,0,3985,15481,1767756,Medium Poverty,Title I,0,23.1,0,0.3949579832,57,43,0,0,72.75,0.3697478992,0.6302521008,0.1680672269,0.8319327731
Ingleside Elementary,Norfolk City Public Schools,Ingleside Elementary Norfolk City Public Schools,36.853449,-76.238281,104,411,25.3,96,496.77,1611,7675,645,3545,13476,6694423,High Poverty,Title I,5,2.5,0,0.6774193548,24,69,2,7.5,59.25,0.5544354839,0.4455645161,0.07862903226,0.9213709677
Irving Middle,Fairfax County Public Schools,Irving Middle Fairfax County Public Schools,38.781772,-77.224841,139,1232,11.28,15.5,1232.56,298,8881,694,6054,15927,19631526,Low Poverty,Non-Title I,2.2,2.2,0,0.148901546,37,61,1,8.9,79.33333333,0.4730831974,0.5269168026,0.1545972335,0.8454027665
Island Creek Elementary,Fairfax County Public Schools,Island Creek Elementary Fairfax County Public Schools,38.745472,-77.168386,50,672,7.44,10,714.95,383,11173,694,6054,18305,13087125,Low Poverty,Non-Title I,3.3,0,0,0.114084507,30,70,0,4.9,86.66666667,0.5070422535,0.4929577465,0.1591549296,0.8408450704
J. Blaine Blayton Elementary,Williamsburg-James City County Public Schools,J. Blaine Blayton Elementary Williamsburg-James City County Public Schools,37.335254,-76.80471,64,453,14.13,36.4,505.06,566,9332,559,4980,15436,7796098,Medium Poverty,Title I,6,0,0,0.3600746269,44,54,0,6,66.5,0.4869402985,0.5130597015,0.2201492537,0.7798507463
J. Frank Hillyard Middle,Rockingham County Public Schools,J. Frank Hillyard Middle Rockingham County Public Schools,38.617321,-78.802046,184,649,28.35,43.5,642.13,395,7791,327,4159,12672,8137089,Medium Poverty,Non-Title I,7,7,5.3,0.4906832298,53,45,0,1.8,50.8,0.4953416149,0.5046583851,0.1180124224,0.8819875776
J. Lupton Simpson Middle,Loudoun County Public Schools,J. Lupton Simpson Middle Loudoun County Public Schools,39.090263,-77.569887,134,995,13.47,23.7,996.78,534,15638,13,2246,18430,18371045,Low Poverty,Non-Title I,4.4,0.9,0,0.2625250501,32,66,1,4.4,65.6,0.506012024,0.493987976,0.1432865731,0.8567134269
J. Michael Lunsford Middle,Loudoun County Public Schools,J. Michael Lunsford Middle Loudoun County Public Schools,38.896641,-77.523078,124,1401,8.85,10.1,1392.44,221,14137,13,2246,16617,23137965,Low Poverty,Non-Title I,0.8,1.6,0,0.1430635838,28,72,0,6.5,82.2,0.4783236994,0.5216763006,0.1206647399,0.8793352601
J.A. Chalkley Elementary,Chesterfield County Public Schools,J.A. Chalkley Elementary Chesterfield County Public Schools,37.464627,-77.519341,166,746,22.25,90.2,816.24,853,6751,543,4412,12560,10251758,High Poverty,Title I,3.7,1.2,0,0.6793611794,40,60,0,4.9,37.5,0.4692874693,0.5307125307,0.1142506143,0.8857493857
J.B. Fisher Elementary,Richmond City Public Schools,J.B. Fisher Elementary Richmond City Public Schools,37.546338,-77.58311,48,248,19.35,100,258.41,449,11369,3624,5962,21404,5530999,,,,,,0.4023904382,35,65,0,0,45,0.4780876494,0.5219123506,0.1434262948,0.8565737052
J.B. Watkins Elementary,Chesterfield County Public Schools,J.B. Watkins Elementary Chesterfield County Public Schools,37.495725,-77.653036,72,797,9.03,12.8,794.62,0,6987,543,4412,11942,9489109,Low Poverty,Non-Title I,1.6,0,0,0.1302149178,44,55,2,1.6,88,0.5132743363,0.4867256637,0.09102402023,0.9089759798
J.G. Hening Elementary,Chesterfield County Public Schools,J.G. Hening Elementary Chesterfield County Public Schools,37.44666,-77.489413,122,764,15.97,57.3,795.5,317,6468,543,4412,11740,9339016,Medium Poverty,Title I,8.6,2.9,2.9,0.5397796818,51,47,0,11.4,50,0.5006119951,0.4993880049,0.1444308446,0.8555691554
J.L. Francis Elementary,Richmond City Public Schools,J.L. Francis Elementary Richmond City Public Schools,37.476518,-77.489249,143,542,26.38,100,540.81,540,8619,3624,5962,18745,10137734,,,,,,0.4831460674,46,54,0,19.4,37.25,0.5056179775,0.4943820225,0.0936329588,0.9063670412
J.W. Adams Combined,Wise County Public Schools,J.W. Adams Combined Wise County Public Schools,37.110825,-82.598878,41,450,9.11,87.8,485.02,1172,6034,627,3142,10975,5322917,High Poverty,Title I,9.9,0,0,0.3927125506,63,33,3,5.6,89.2,0.487854251,0.512145749,0.1781376518,0.8218623482
J.W. Alvey Elementary,Prince William County Public Schools,J.W. Alvey Elementary Prince William County Public Schools,38.841941,-77.654518,51,588,8.67,4.1,584.9,504,8901,571,3640,13616,7964227,Low Poverty,Non-Title I,12.8,0,0,0.05199306759,29,71,0,0,86.75,0.4696707106,0.5303292894,0.1265164645,0.8734835355
Jackson Davis Elementary,Henrico County Public Schools,Jackson Davis Elementary Henrico County Public Schools,37.623986,-77.559842,25,506,4.94,34.9,519.44,795,8512,89,2979,12374,6427750,Medium Poverty,Non-Title I,0,0,0,0.397338403,32,68,0,2.9,75,0.4524714829,0.5475285171,0.1178707224,0.8821292776
Jackson Memorial Elementary,Wythe County Public Schools,Jackson Memorial Elementary Wythe County Public Schools,36.862661,-80.864649,56,194,28.87,54.9,208,1285,7120,163,3510,12078,2512186,Medium Poverty,Title I,10,5,0,0.5188679245,67,33,0,0,67.5,0.4716981132,0.5283018868,0.1367924528,0.8632075472
Jackson Middle,Fairfax County Public Schools,Jackson Middle Fairfax County Public Schools,38.868337,-77.228384,164,1093,15,50.3,1101.22,401,10595,694,6054,17744,19540587,Medium Poverty,Non-Title I,7.5,7.5,0,0.5072859745,29,69,1,8.6,66,0.4699453552,0.5300546448,0.1612021858,0.8387978142
Jackson P. Burley Middle,Albemarle County Public Schools,Jackson P. Burley Middle Albemarle County Public Schools,38.039921,-78.486693,64,599,10.68,40.5,596.72,266,11366,471,3799,15901,9488731,Medium Poverty,Non-Title I,4.1,4.1,1.4,0.3866666667,23,68,6,8.1,61.4,0.4916666667,0.5083333333,0.1416666667,0.8583333333
Jackson-Via Elementary,Charlottesville City Public Schools,Jackson-Via Elementary Charlottesville City Public Schools,38.014073,-78.504461,51,285,17.89,85.6,325.35,1226,12714,263,5172,19374,6303196,High Poverty,Title I,5.7,5.7,0,0.48,36,56,3,5.7,54,0.4369230769,0.5630769231,0.2,0.8
Jacob L. Adams Elementary,Henrico County Public Schools,Jacob L. Adams Elementary Henrico County Public Schools,37.536419,-77.366154,157,445,35.28,82.3,475.49,1204,8233,89,2979,12504,5945602,High Poverty,Title I,3.3,0,0,0.7158119658,26,74,0,0,38,0.5,0.5,0.1111111111,0.8888888889
Jacobs Road Elementary,Chesterfield County Public Schools,Jacobs Road Elementary Chesterfield County Public Schools,37.434934,-77.553125,127,675,18.81,42.1,696.23,497,7129,543,4412,12581,8759270,Medium Poverty,Title I,9.5,1.6,0,0.4201438849,37,63,0,7.9,57.75,0.4791366906,0.5208633094,0.1669064748,0.8330935252
Jacox Elementary,Norfolk City Public Schools,Jacox Elementary Norfolk City Public Schools,36.856346,-76.264903,215,480,44.79,95.9,553.8,2515,9250,645,3545,15954,8835517,High Poverty,Title I,5.3,8.8,0,0.8613678373,36,53,2,19.3,17.75,0.4861367837,0.5138632163,0.07578558226,0.9242144177
James Blair Middle,Williamsburg-James City County Public Schools,James Blair Middle Williamsburg-James City County Public Schools,37.292155,-76.726824,78,542,14.39,40.4,541.63,317,8101,559,4980,13957,7559428,Medium Poverty,Non-Title I,13,5.8,5.8,0.4036697248,30,60,0,11.6,64.4,0.4660550459,0.5339449541,0.1559633028,0.8440366972
James G. Brumfield Elementary,Fauquier County Public Schools,James G. Brumfield Elementary Fauquier County Public Schools,38.700476,-77.794154,66,475,13.89,32.3,495.95,0,9223,641,3870,13733,6811104,Medium Poverty,Non-Title I,0,0,0,0.2937625755,41,59,0,3.1,65.66666667,0.4808853119,0.5191146881,0.1710261569,0.8289738431
James K. Polk Elementary,Alexandria City Public Schools,James K. Polk Elementary Alexandria City Public Schools,38.821793,-77.115909,132,744,17.74,71.7,768.92,522,11958,945,4703,18128,13938795,Medium Poverty,Title I,0,4.2,0,0.6182298547,35,58,2,12.5,57,0.4980184941,0.5019815059,0.07793923382,0.9220607662
James Madison Middle,Roanoke City Public Schools,James Madison Middle Roanoke City Public Schools,37.249435,-79.974258,152,590,25.76,100,579.06,810,8175,796,3859,13640,7898172,High Poverty,Non-Title I,2.7,6.8,0,0.5307167235,43,42,3,5.5,55.6,0.5102389078,0.4897610922,0.1672354949,0.8327645051
James Monroe Elementary,Norfolk City Public Schools,James Monroe Elementary Norfolk City Public Schools,36.875565,-76.290224,26,212,12.26,96.1,250.39,3561,11819,645,3545,19570,4900075,High Poverty,Title I,5.6,2.8,0,0.859375,37,53,5,22.2,38,0.49609375,0.50390625,0.0859375,0.9140625
James Monroe High,Fredericksburg City Public Schools,James Monroe High Fredericksburg City Public Schools,38.311252,-77.475186,247,1029,24,42.6,1004.89,1292,9493,354,4299,15438,15513781,Medium Poverty,Non-Title I,9.8,6.5,2.2,0.3700097371,33,61,2,13,51.2,0.4829600779,0.5170399221,0.1100292113,0.8899707887
James River Elementary,Williamsburg-James City County Public Schools,James River Elementary Williamsburg-James City County Public Schools,37.208695,-76.617844,41,432,9.49,69.8,421.53,1120,10786,559,4980,17445,7353383,Medium Poverty,Title I,4.5,0,0,0.7119047619,37,59,0,2.3,57,0.4952380952,0.5047619048,0.1285714286,0.8714285714
James River High,Botetourt County Public Schools,James River High Botetourt County Public Schools,37.546844,-79.725704,41,461,8.89,24.3,462.65,325,9152,145,2883,12506,5785796,Low Poverty,Non-Title I,0,10.3,0,0.2226890756,33,55,2,1.7,82.25,0.4579831933,0.5420168067,0.1239495798,0.8760504202
James River High,Chesterfield County Public Schools,James River High Chesterfield County Public Schools,37.552513,-77.649318,429,1888,22.72,28,1827.39,130,6373,543,4412,11458,20938937,Low Poverty,Non-Title I,3.7,2.2,0,0.2484375,41,56,2,2.2,69,0.4973958333,0.5026041667,0.1151041667,0.8848958333
James S. Russell Middle,Brunswick County Public Schools,James S. Russell Middle Brunswick County Public Schools,36.778199,-77.873444,130,324,40.12,97.7,325.7,342,7927,1961,5489,15719,5119561,High Poverty,Title I,3.1,9.4,0,0.773006135,56,41,0,12.5,36.4,0.4754601227,0.5245398773,0.1533742331,0.8466257669
James Wood High,Frederick County Public Schools,James Wood High Frederick County Public Schools,39.214299,-78.182404,337,1409,23.92,25.8,1411.26,188,9742,136,2885,12950,18276424,Low Poverty,Non-Title I,0.8,3.9,0.8,0.3296244784,41,55,1,6.3,76.4,0.4812239221,0.5187760779,0.1481223922,0.8518776078
James Wood Middle,Frederick County Public Schools,James Wood Middle Frederick County Public Schools,39.18972,-78.18471,193,815,23.68,46.6,817.26,265,9781,136,2885,13067,10679441,Medium Poverty,Non-Title I,6.4,6.4,1.3,0.5391198044,56,41,4,9,56,0.5036674817,0.4963325183,0.1442542787,0.8557457213
Jamestown Elementary,Arlington County Public Schools,Jamestown Elementary Arlington County Public Schools,38.917223,-77.139443,5,453,1.1,3.4,501.03,0,13040,968,7589,21597,10820874,Low Poverty,Non-Title I,4.8,0,0,0.0281124498,9,84,7,4.8,92.75,0.5220883534,0.4779116466,0.1305220884,0.8694779116
Jamestown High,Williamsburg-James City County Public Schools,Jamestown High Williamsburg-James City County Public Schools,37.252536,-76.788876,252,1220,20.66,17.9,1163.67,262,7711,559,4980,13512,15723668,Low Poverty,Non-Title I,5.7,4.9,1.6,0.2376717866,28,66,2,5.7,80,0.4870550162,0.5129449838,0.1196443007,0.8803556993
Jane H. Bryan Elementary,Hampton City Public Schools,Jane H. Bryan Elementary Hampton City Public Schools,37.027535,-76.313644,87,403,21.59,91.1,402.01,1560,7774,446,2738,12518,5032333,High Poverty,Title I,15.4,7.7,3.8,0.5821256039,46,43,0,11.5,56.5,0.5193236715,0.4806763285,0.1183574879,0.8816425121
Jefferson Forest High,Bedford County Public Schools,Jefferson Forest High Bedford County Public Schools,37.376072,-79.30327,147,1281,11.48,16.9,1276.57,346,7291,28,3585,11249,14360378,Low Poverty,Non-Title I,4.4,5.5,0,0.1971940764,46,49,1,12.1,76.8,0.4972720187,0.5027279813,0.0872954014,0.9127045986
Jefferson Middle,Arlington County Public Schools,Jefferson Middle Arlington County Public Schools,38.869727,-77.096779,57,945,6.03,40.9,935.27,40,13821,968,7589,22419,20967663,Medium Poverty,Non-Title I,5,1,0,0.4681081081,31,65,2,10,68,0.4908108108,0.5091891892,0.1913513514,0.8086486486
Jefferson-Houston PK-8 School,Alexandria City Public Schools,Jefferson-Houston PK-8 School Alexandria City Public Schools,38.808386,-77.055256,142,604,23.51,63.4,646.92,764,15044,945,4703,21455,13879642,Medium Poverty,Title I,0,15.3,0,0.6180124224,24,68,3,18.6,39.4,0.4751552795,0.5248447205,0.1677018634,0.8322981366
