school,division,school_division,latitude,longitude,10_or_more_absences,half_year_enrollment,rate_chronic_absence,free_reduced_lunch_eligible,eoy_avg_daily_membership,school_level_expenditures_per_pupil_federal,school_level_expenditures_per_pupil_state,division_level_expenditures_per_pupil_federal,division_level_expenditures_per_pupil_state,total_per_pupil_expenditures,total_expenditures,poverty_level,title1_code,percent_inexperienced_teachers,percent_out_of_field_teachers,percent_out_of_field_inexperienced_teachers,percent_econ_disadvantaged,teacher_BA,teacher_MA,teacher_PHD,provisional_percent,sol_pass_rate,percent_female_students,percent_male_students,percent_disabled_students,percent_not_disabled_students
Speedwell Elementary,Wythe County Public Schools,Speedwell Elementary Wythe County Public Schools,36.816448,-81.17588,39,128,30.47,61.2,144.16,999,7789,163,3510,12460,1796305,Medium Poverty,Title I,7.7,0,0,0.5902777778,50,43,0,0,59.75,0.4583333333,0.5416666667,0.1736111111,0.8263888889
Spiller Elementary,Wythe County Public Schools,Spiller Elementary Wythe County Public Schools,36.952123,-81.084898,162,558,29.03,55.2,582.77,735,6302,163,3510,10709,6240999,Medium Poverty,Title I,6.8,2.3,0,0.5425170068,61,37,0,6.8,76.25,0.4642857143,0.5357142857,0.1819727891,0.8180272109
Spotswood Elementary,Harrisonburg City Public Schools,Spotswood Elementary Harrisonburg City Public Schools,38.442389,-78.860174,97,461,21.04,83.7,470.63,1832,8445,625,3535,14437,6794335,High Poverty,Title I,0,0,0,0.6265560166,41,59,0,5.9,38.25,0.4585062241,0.5414937759,0.08506224066,0.9149377593
Spotswood Elementary,Spotsylvania County Public Schools,Spotswood Elementary Spotsylvania County Public Schools,38.256062,-77.486003,77,509,15.13,53.5,513.17,929,8010,594,4296,13829,7096502,Medium Poverty,Title I,15,12.5,7.5,0.5867446394,33,62,0,5,50,0.4658869396,0.5341130604,0.1033138402,0.8966861598
Spotswood High,Rockingham County Public Schools,Spotswood High Rockingham County Public Schools,38.375521,-78.763358,275,932,29.51,34.2,931.77,195,7783,327,4159,12464,11613146,Medium Poverty,Non-Title I,2.7,5.5,2.7,0.3865546218,44,55,0,4.1,79.5,0.49106204,0.50893796,0.09978991597,0.900210084
Spotsylvania Elementary,Spotsylvania County Public Schools,Spotsylvania Elementary Spotsylvania County Public Schools,38.203224,-77.590753,119,541,22,39.4,561.44,353,7384,594,4296,12628,7089649,Medium Poverty,Non-Title I,8.6,2.9,2.9,0.4490161002,43,57,0,5.7,73.5,0.457960644,0.542039356,0.1323792487,0.8676207513
Spotsylvania High,Spotsylvania County Public Schools,Spotsylvania High Spotsylvania County Public Schools,38.160124,-77.653742,398,1271,31.31,33.8,1266.77,139,7113,594,4296,12143,15382101,Medium Poverty,Non-Title I,13.3,13.3,9.2,0.4437643458,44,46,1,9.2,69,0.4747320061,0.5252679939,0.1476664116,0.8523335884
Spotsylvania Middle,Spotsylvania County Public Schools,Spotsylvania Middle Spotsylvania County Public Schools,38.197481,-77.585805,198,977,20.27,29.5,973.79,77,6739,594,4296,11706,11398887,Low Poverty,Non-Title I,18.8,7.8,3.1,0.371399177,45,53,0,9.4,56.4,0.4865979381,0.5134020619,0.1409465021,0.8590534979
Spring Hill Elementary,Fairfax County Public Schools,Spring Hill Elementary Fairfax County Public Schools,38.939013,-77.228435,68,843,8.07,4.2,843.77,325,9376,694,6054,16449,13879425,Low Poverty,Non-Title I,0,0,0,0.08023952096,23,73,3,1.6,92.33333333,0.4958083832,0.5041916168,0.08263473054,0.9173652695
Spring Run Elementary,Chesterfield County Public Schools,Spring Run Elementary Chesterfield County Public Schools,37.382693,-77.651947,96,874,10.98,16.9,871.19,0,6413,543,4412,11368,9903999,Low Poverty,Non-Title I,1.6,0,0,0.1894977169,48,52,0,7.8,75.75,0.4760273973,0.5239726027,0.1449771689,0.8550228311
Springfield Elementary,Page County Public Schools,Springfield Elementary Page County Public Schools,38.728415,-78.421522,31,192,16.15,53.5,213.83,1138,9560,813,2609,14119,3019056,Medium Poverty,Title I,4.5,9.1,0,0.4703196347,38,63,0,0,80.5,0.502283105,0.497716895,0.1095890411,0.8904109589
Springfield Estates Elementary,Fairfax County Public Schools,Springfield Estates Elementary Fairfax County Public Schools,38.783577,-77.16376,61,564,10.82,31,580.85,484,10444,694,6054,17677,10267504,Medium Poverty,Non-Title I,2,2,0,0.3694158076,28,72,0,2,81.66666667,0.5274914089,0.4725085911,0.1134020619,0.8865979381
Springfield Park Elementary,Henrico County Public Schools,Springfield Park Elementary Henrico County Public Schools,37.657234,-77.565631,35,594,5.89,27.7,614.61,732,7863,89,2979,11662,7167783,Low Poverty,Non-Title I,0,0,0,0.3266666667,34,66,0,0,79,0.4816666667,0.5183333333,0.1216666667,0.8783333333
Springwoods Elementary,Prince William County Public Schools,Springwoods Elementary Prince William County Public Schools,38.685399,-77.325892,115,802,14.34,37.2,865.78,269,7721,571,3640,12201,10563307,Medium Poverty,Non-Title I,12.3,1.8,1.8,0.4039351852,29,69,2,7,74,0.4924681344,0.5075318656,0.09953703704,0.900462963
St. Charles Elementary,Lee County Public Schools,St. Charles Elementary Lee County Public Schools,36.803812,-83.057236,54,111,48.65,94.2,124.29,2947,10496,951,2773,17166,2133610,High Poverty,Title I,5.6,5.6,0,0.7903225806,58,42,0,11.1,73.66666667,0.4274193548,0.5725806452,0.2661290323,0.7338709677
St. Clare Walker Middle,Middlesex County Public Schools,St. Clare Walker Middle Middlesex County Public Schools,37.590934,-76.498725,78,274,28.47,49.6,271.47,1097,9184,128,3919,14328,3889640,Medium Poverty,Non-Title I,4.8,14.3,4.8,0.5766423358,33,63,0,9.5,64,0.5109489051,0.4890510949,0.1861313869,0.8138686131
St. Helena Elementary,Norfolk City Public Schools,St. Helena Elementary Norfolk City Public Schools,36.830952,-76.284524,73,219,33.33,95.9,238,2674,11684,645,3545,18547,4414258,High Poverty,Title I,0,0,0,0.8384279476,31,59,0,23.3,36.5,0.4759825328,0.5240174672,0.08296943231,0.9170305677
St. Paul,Carroll County Public Schools,St. Paul Carroll County Public Schools,36.604249,-80.689575,36,297,12.12,73.6,313.53,1346,7571,418,3506,12841,4026074,Medium Poverty,Title I,3.3,6.7,3.3,0.679245283,50,47,3,0,77.75,0.4874213836,0.5125786164,0.1855345912,0.8144654088
